,num_day,timestamp,city,lat,lon,temp_celsius,humidity,dew_point,weather_main,weather_descrip,clouds,wind_speed,pop
170,3,1739098800,Nimes,43.8374249,4.3600687,7.98,81,4.88,Rain,moderate rain,100,3.9699999999999998,1.0
171,4,1739185200,Nimes,43.8374249,4.3600687,12.39,74,7.9,Rain,moderate rain,99,6.07,1.0
172,5,1739271600,Nimes,43.8374249,4.3600687,11.59,77,7.57,Rain,light rain,100,5.77,0.98
173,6,1739358000,Nimes,43.8374249,4.3600687,11.77,67,5.75,Rain,moderate rain,100,5.46,1.0
174,7,1739444400,Nimes,43.8374249,4.3600687,7.38,93,6.29,Rain,moderate rain,100,3.23,1.0
175,1,1738926000,Aigues Mortes,43.5661521,4.19154,12.02,75,7.68,Rain,light rain,100,14.34,1.0
176,2,1739012400,Aigues Mortes,43.5661521,4.19154,10.72,84,8.11,Rain,moderate rain,100,16.11,1.0
177,3,1739098800,Aigues Mortes,43.5661521,4.19154,8.17,86,5.94,Rain,light rain,100,6.28,1.0
178,4,1739185200,Aigues Mortes,43.5661521,4.19154,10.88,83,8.08,Rain,light rain,94,5.55,1.0
179,5,1739271600,Aigues Mortes,43.5661521,4.19154,11.98,85,9.42,Rain,light rain,100,10.96,1.0
180,6,1739358000,Aigues Mortes,43.5661521,4.19154,11.46,79,7.87,Rain,moderate rain,100,13.31,1.0
181,7,1739444400,Aigues Mortes,43.5661521,4.19154,9.54,88,7.57,Rain,light rain,100,11.96,1.0
182,1,1738926000,Saintes Maries de la mer,43.4515922,4.4277202,12.16,75,7.8100000000000005,Rain,light rain,100,15.18,1.0
183,2,1739012400,Saintes Maries de la mer,43.4515922,4.4277202,10.81,83,8.04,Rain,moderate rain,100,16.32,1.0
184,3,1739098800,Saintes Maries de la mer,43.4515922,4.4277202,8.3,81,5.28,Rain,moderate rain,100,6.57,1.0
185,4,1739185200,Saintes Maries de la mer,43.4515922,4.4277202,10.97,86,8.75,Rain,moderate rain,92,7.68,1.0
186,5,1739271600,Saintes Maries de la mer,43.4515922,4.4277202,11.97,84,9.41,Rain,light rain,100,11.41,0.8
187,6,1739358000,Saintes Maries de la mer,43.4515922,4.4277202,11.53,78,7.83,Rain,light rain,100,14.12,1.0
188,7,1739444400,Saintes Maries de la mer,43.4515922,4.4277202,10.05,83,7.35,Rain,light rain,100,14.99,1.0
189,1,1738929600,Collioure,42.52505,3.0831554,13.18,59,4.61,Clouds,broken clouds,69,10.76,0.0
190,2,1739016000,Collioure,42.52505,3.0831554,3.34,97,1.9500000000000002,Snow,rain and snow,100,6.87,1.0
191,3,1739102400,Collioure,42.52505,3.0831554,5.05,96,3.61,Rain,moderate rain,100,6.42,1.0
192,4,1739188800,Collioure,42.52505,3.0831554,8.62,85,5.4,Clouds,overcast clouds,100,5.09,0.31
193,5,1739275200,Collioure,42.52505,3.0831554,12.99,80,8.74,Rain,light rain,95,4.48,0.53
194,6,1739361600,Collioure,42.52505,3.0831554,13.7,86,10.48,Rain,light rain,100,5.62,0.8300000000000001
195,7,1739448000,Collioure,42.52505,3.0831554,14.53,73,8.93,Rain,light rain,100,3.84,0.66
196,1,1738929600,Carcassonne,43.2130358,2.3491069,11.69,61,3.84,Rain,light rain,77,9.13,0.2
197,2,1739016000,Carcassonne,43.2130358,2.3491069,3.84,95,2.48,Snow,rain and snow,100,6.08,1.0
198,3,1739102400,Carcassonne,43.2130358,2.3491069,2.09,100,1.34,Snow,rain and snow,100,3.19,1.0
199,4,1739188800,Carcassonne,43.2130358,2.3491069,7.53,88,5.01,Clouds,overcast clouds,96,8.31,0.0
200,5,1739275200,Carcassonne,43.2130358,2.3491069,13.39,72,7.77,Clouds,overcast clouds,90,9.8,0.0
201,6,1739361600,Carcassonne,43.2130358,2.3491069,13.55,78,9.05,Rain,light rain,100,9.58,0.59
202,7,1739448000,Carcassonne,43.2130358,2.3491069,10.88,93,9.07,Rain,light rain,100,6.94,0.33
203,1,1738929600,Ariege,42.9455368,1.4065544156065486,7.04,52,-2.18,Clouds,overcast clouds,97,2.81,0.17
204,2,1739016000,Ariege,42.9455368,1.4065544156065486,0.29,81,-2.42,Snow,rain and snow,100,2.05,1.0
205,3,1739102400,Ariege,42.9455368,1.4065544156065486,2.98,78,-0.19,Rain,light rain,52,2.34,0.35000000000000003
206,4,1739188800,Ariege,42.9455368,1.4065544156065486,4.63,75,0.9,Clouds,broken clouds,76,2.95,0.0
207,5,1739275200,Ariege,42.9455368,1.4065544156065486,8.07,69,2.85,Clouds,overcast clouds,100,3.8200000000000003,0.12
208,6,1739361600,Ariege,42.9455368,1.4065544156065486,9.17,70,4.14,Clouds,overcast clouds,97,3.42,0.08
209,7,1739448000,Ariege,42.9455368,1.4065544156065486,10.26,56,1.85,Clouds,overcast clouds,98,2.98,0.0
210,1,1738929600,Toulouse,43.6044622,1.4442469,11.04,63,4.22,Clouds,overcast clouds,100,6.5600000000000005,0.0
211,2,1739016000,Toulouse,43.6044622,1.4442469,6.07,73,1.43,Snow,rain and snow,99,5.85,1.0
212,3,1739102400,Toulouse,43.6044622,1.4442469,3.2,96,2.41,Snow,rain and snow,99,2.69,1.0
213,4,1739188800,Toulouse,43.6044622,1.4442469,7.22,79,3.59,Clouds,broken clouds,84,7.15,0.0
214,5,1739275200,Toulouse,43.6044622,1.4442469,13.73,65,7.09,Clouds,overcast clouds,95,9.98,0.0
215,6,1739361600,Toulouse,43.6044622,1.4442469,13.87,68,7.96,Rain,light rain,100,9.55,0.74
216,7,1739448000,Toulouse,43.6044622,1.4442469,12.3,78,8.44,Clouds,overcast clouds,100,7.92,0.53
217,1,1738929600,Montauban,44.0175835,1.3549991,11.54,63,4.59,Clouds,overcast clouds,100,6.53,0.08
218,2,1739016000,Montauban,44.0175835,1.3549991,6.41,70,1.37,Snow,rain and snow,100,6.84,1.0
219,3,1739102400,Montauban,44.0175835,1.3549991,3.44,96,2.84,Rain,light rain,100,1.97,1.0
220,4,1739188800,Montauban,44.0175835,1.3549991,8.4,74,4.01,Clouds,overcast clouds,99,6.05,0.0
221,5,1739275200,Montauban,44.0175835,1.3549991,14.62,64,7.73,Clouds,overcast clouds,93,9.32,0.0
222,6,1739361600,Montauban,44.0175835,1.3549991,13.39,75,8.93,Rain,light rain,100,9.53,0.89
223,7,1739448000,Montauban,44.0175835,1.3549991,12.94,74,8.32,Rain,light rain,99,8.28,0.85
224,1,1738929600,Biarritz,43.471143749999996,-1.552726590666314,8.39,85,5.79,Rain,moderate rain,100,7.65,1.0
225,2,1739016000,Biarritz,43.471143749999996,-1.552726590666314,7.8100000000000005,80,4.4,Rain,moderate rain,100,5.59,1.0
226,3,1739102400,Biarritz,43.471143749999996,-1.552726590666314,8.69,69,2.98,Rain,light rain,17,3.33,0.6000000000000001
227,4,1739188800,Biarritz,43.471143749999996,-1.552726590666314,9.13,72,4.1,Rain,light rain,100,3.64,1.0
228,5,1739275200,Biarritz,43.471143749999996,-1.552726590666314,12.28,69,6.58,Clouds,overcast clouds,100,4.23,0.0
229,6,1739361600,Biarritz,43.471143749999996,-1.552726590666314,14.45,68,8.49,Rain,light rain,100,3.51,1.0
230,7,1739448000,Biarritz,43.471143749999996,-1.552726590666314,16.1,63,8.8,Clouds,scattered clouds,37,3.45,0.63
231,1,1738929600,Bayonne,43.4945144,-1.4736657,7.97,89,6.13,Rain,moderate rain,100,7.1,1.0
232,2,1739016000,Bayonne,43.4945144,-1.4736657,7.18,85,4.5,Rain,moderate rain,98,5.07,1.0
